country,lau,hospitalized,population,hospitalized/100k pop.,deaths,cases,datetime
NL,Gilze en Rijen,15,26438.0,56.7,,,2020-04-02T17:21:00
NL,Velsen,16,68660.0,23.3,,,2020-04-02T17:21:00
NL,De Ronde Venen,16,44457.0,36.0,,,2020-04-02T17:21:00
NL,Hilversum,16,90883.0,17.6,,,2020-04-02T17:21:00
NL,Vlaardingen,16,73445.0,21.8,,,2020-04-02T17:21:00
NL,Hoorn,16,73232.0,21.8,,,2020-04-02T17:21:00
NL,Oudewater,16,10226.0,156.5,,,2020-04-02T17:21:00
NL,Heemskerk,17,39188.0,43.4,,,2020-04-02T17:21:00
NL,Culemborg,17,28956.0,58.7,,,2020-04-02T17:21:00
NL,Roerdalen,17,20572.0,82.6,,,2020-04-02T17:21:00
NL,Stichtse Vecht,18,64928.0,27.7,,,2020-04-02T17:21:00
NL,Lansingerland,18,62396.0,28.8,,,2020-04-02T17:21:00
NL,Leiden,18,125174.0,14.4,,,2020-04-02T17:21:00
NL,Barendrecht,18,48713.0,37.0,,,2020-04-02T17:21:00
NL,Lingewaard,18,46606.0,38.6,,,2020-04-02T17:21:00
